Text,Useful
@117104 Thanks for getting back to us. We apologize but aren't understanding the issue at hand. Please DM us. https://t.co/GDrqU22YpT,False
@120174 Amazon Prime Music is one of the music streaming services available exclusively on echo devices starting 10/31. 1/2 ^AR,False
@118743 Gate information is shared on the website. Just input your flight number here: https://t.co/hSJ3SkyGEd.,False
"Me: I'm not dressing up for #Halloween. I'm not even getting  out of this bed
Homie: $3 burrito at @ChipotleTweets if u come in costume
Me: https://t.co/4vIM8r13AG",True
@Uber_Support why do I never receive promos !!!!!!!!,True
"@119700 You must have received a correspondence to your registered email address, request you to check the same. ^SH",False
@118056 Azure portal times out... for over an hour now. Unable to access the services for configuration update,True
@AdobeCare ok. its been very frustrating. i have multiple jobs that i need finished and your application isnt helping.,True
"@ChipotleTweets got rid of chorizo. If anyone needs me, I'll be locked in my room listening to sad songs on full blast to hide my sobs.",True
@116168 Happy to further assist you. Can you please send us a DM with your email address and additional details so we can follow up?,False
@TacoBellTeam ordered 3 breakfast tacos. WTF would you give reg. Soft tacos instead. It’s not even time to serve those yet?,True
@118734 @Delta :) thank you!,True
Celebrating Halloween today!@AlaskaAir  #iamalaska 🎃🐾💀❤️☠️🕸 https://t.co/BIM5E4KsRZ,True
Damn the new emojis @115858. Will my battery still go from 65% to 40% after one snap?,True
@118647 Oh no. Where did you get this?,False
@115714 chk ur latest bill. I paid for note 8 shipping w/debit when ordered. Latest bill shows ship charge. This happened to other friends.,True
"@UPSHelp where is my package?
Tracking #1Z9743W80207078561",True
"@117049 I've had a look into it, you can't get a ticket to Zones 1-4 I'm afraid, you will need to purchase a SOU - Zones 1-6 ticket",False
@119775 Article 8 ttp://tinyurl.com/y9bhaq6w this is strictly not advisable. Thank-Sha,False
"@119833 Oh my goodness – I love this! Nicely done, my friends. -Becky",False
"@118076 Hi! I've responded to your DM, and thank you for your patience. ^ES",False
"@ChaseSupport Pop ups? Who uses popups anymore. Everyone's settings are to block them. You have to re-animate the tab, which is what you guys did before.",True
@ArbysCares Thanks. Will get with you asap.,True
@118186  We don't want to lose you as a Cox customer. We can look into this for you. Please DM your account information.   -Brenda,False
@AskPlayStation Is it possible to create a hidden harddrive on ps4 which can be accessed remotely when the system is on?,True
@AskPayPal hey paypal gifts isn't working ???.. help pleaseee https://t.co/bB4XYKtPZB,True
@115858 why is it impossible to Type “I” without a stupid box with a question mark. #notimpressed #fixit,True
"@SpotifyCares What keywords besides ""playlist"", ""playlists"", + ""song"" would I use?",True
@119332 Please DM us your tracking number &amp; phone number and we'll see what we can do. ^KS https://t.co/wKJHDXWGRQ,False
@118975 You're living life right.,False
@117467 👍👍👍 -Sean,False
"@120679 @117627 Hello Are, we apologize. May we have your number for clarification? SO",False
@116968 If you're still having trouble logging in after troubleshooting please contact us here for real-time help: https://t.co/6YdK7bvQN7,False
"@118701 Sorry for the trouble, Manak. Please resubmit the details here: https://t.co/GIJyeYqKE0 and we'll have this checked. ^KA",False
@AmericanAir She says she can't wait to get her wings ❤️,True
@TMobileHelp Will do! Thx!,True
@AskPlayStation My PS4 lets me load up games but then I can’t do anything in them eg Fortnite can’t press X to continue,True
@117789 We haven't received your details. Kindly share your details here: https://t.co/JzRdscmdH9 and I'll get in touch soon. ^AK,False
@comcastcares Just did,True
@AmazonHelp Thanks.,True
@Postmates_Help @116057 how do I turn these notification off? I do not want them https://t.co/SBV2atg8o0,True
@116035 explain how I get overdraft charges when I had a positive balance?? https://t.co/HEO2epOSlr,True
@AskAmex No I have not but I will try that now,True
"@118036 Help has arrived. What trouble are you having with your service?
^HSB",False
@119770 Please share your  contact number. ^ZW,False
"@116088 I'm sorry for the frustration, Anthony! Can you tell me more about which pre-order bonuses are missing? ^EA",False
@Ask_Spectrum Hi there! @117469 is out on my cable in Austin; this might be the only station affected. Thanks in advance for your help!,True
@116036 Thank you for taking the time to speak with us today. We appreciate the opportunity to help. ^mg,False
@115940 your live TV feature is nowhere to be found despite my having it on my account...help!,True
@116683 Congrats on getting married! We're looking forward to having lots of excited wedding guests. That's a fantastic deal!,False
@117972 Happy to help! Please reach out to https://t.co/zUe0dj6yoX and fill out the 4 boxes at the bottom so we can get in touch.,False
"@XboxSupport my brother can't install Forza 7 on his Xbox one, he's already tried a power cycle, what can he do please?",True
"@119894 We are here to help! Please send us a Direct Message, so that we can further assist you. - LV. https://t.co/rMApsV8PQY",False
@116007 Please check your DM's for more instructions.,False
@comcastcares Don't sports have entire channels dedicated to them? Why is #jeopardy being preempted for baseball right now?,True
@120355 Hola Jonatan! Como podemos ayudarte?,False
